approach_id,sample_id,side_label,target_lat,target_lon,panoid,pano_lat,pano_lon,pano_distance_m,target_bearing_deg,pano_angle_deg,face,face_delta_deg,shot_date,roadview_link,resolved_url,node_url,status,target_image_path
CW12-B,CW12,B,37.401011598573284,126.92267596226152,1202874755,37.4009665331887,126.922549839166,12.22,65.8,320.5,left,15.3,2025-11-18 14:46:16,"https://map.kakao.com/link/roadview/37.4010116,126.9226760",https://map.kakao.com/?panoid=1202874755&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482856.0&urlY=1083789.0,https://rv.map.kakao.com/roadview-search/v2/node/1202874755?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW12-B/target.jpg
CW13-A,CW13,A,37.40083738053178,126.92194039159135,1202874946,37.4008760599079,126.921985229939,5.85,222.6,70.6,back,-28.0,2025-11-18 15:01:57,"https://map.kakao.com/link/roadview/37.4008374,126.9219404",https://map.kakao.com/?panoid=1202874946&pan=70.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482731.0&urlY=1083764.0,https://rv.map.kakao.com/roadview-search/v2/node/1202874946?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW13-A/target.jpg
CW13-B,CW13,B,37.40089461946822,126.92181340840867,1202871529,37.4008651551786,126.921845195084,4.31,319.4,231.4,left,-2.0,2025-11-18 11:52:27,"https://map.kakao.com/link/roadview/37.4008946,126.9218134",https://map.kakao.com/?panoid=1202871529&pan=231.4&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482700.0&urlY=1083761.0,https://rv.map.kakao.com/roadview-search/v2/node/1202871529?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW13-B/target.jpg
CW14-A,CW14,A,37.39951423562795,126.92380849157105,1202874714,37.3995438151831,126.923929152638,11.15,252.9,322.6,right,20.3,2025-11-18 14:45:30,"https://map.kakao.com/link/roadview/37.3995142,126.9238085",https://map.kakao.com/?panoid=1202874714&pan=322.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483161.0&urlY=1083394.0,https://rv.map.kakao.com/roadview-search/v2/node/1202874714?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW14-A/target.jpg
CW14-B,CW14,B,37.399604184372045,126.92395310842896,1202874714,37.3995438151831,126.923929152638,7.04,17.5,322.6,left,-35.1,2025-11-18 14:45:30,"https://map.kakao.com/link/roadview/37.3996042,126.9239531",https://map.kakao.com/?panoid=1202874714&pan=322.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483161.0&urlY=1083394.0,https://rv.map.kakao.com/roadview-search/v2/node/1202874714?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW14-B/target.jpg
CW15-A,CW15,A,37.398330514879135,126.92430267046433,1202871493,37.3983546939201,126.924282716998,3.21,146.8,42.8,left,14.0,2025-11-18 11:45:38,"https://map.kakao.com/link/roadview/37.3983305,126.9243027",https://map.kakao.com/?panoid=1202871493&pan=42.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483239.0&urlY=1083064.0,https://rv.map.kakao.com/roadview-search/v2/node/1202871493?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW15-A/target.jpg
CW15-B,CW15,B,37.39843440512087,126.92420312953567,1202871514,37.3984339635029,126.924251014945,4.23,270.7,237.3,front,33.4,2025-11-18 11:49:28,"https://map.kakao.com/link/roadview/37.3984344,126.9242031",https://map.kakao.com/?panoid=1202871514&pan=237.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483232.0&urlY=1083086.0,https://rv.map.kakao.com/roadview-search/v2/node/1202871514?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW15-B/target.jpg
CW16-A,CW16,A,37.39751862266188,126.92279839429749,1202873960,37.3975860453637,126.922770154151,7.9,161.6,57.2,left,14.4,2025-11-18 14:18:05,"https://map.kakao.com/link/roadview/37.3975186,126.9227984",https://map.kakao.com/?panoid=1202873960&pan=57.2&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482904.0&urlY=1082851.0,https://rv.map.kakao.com/roadview-search/v2/node/1202873960?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW16-A/target.jpg
CW16-B,CW16,B,37.397654297338114,126.92268200570251,1202873960,37.3975860453637,126.922770154151,10.87,314.3,57.2,right,-12.9,2025-11-18 14:18:05,"https://map.kakao.com/link/roadview/37.3976543,126.9226820",https://map.kakao.com/?panoid=1202873960&pan=57.2&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482904.0&urlY=1082851.0,https://rv.map.kakao.com/roadview-search/v2/node/1202873960?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW16-B/target.jpg
CW17-A,CW17,A,37.39667273168306,126.92338647331106,1202875183,37.3967142361751,126.92335378929,5.44,148.0,34.5,left,23.5,2025-11-18 15:24:23,"https://map.kakao.com/link/roadview/37.3966727,126.9233865",https://map.kakao.com/?panoid=1202875183&pan=34.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483033.0&urlY=1082609.0,https://rv.map.kakao.com/roadview-search/v2/node/1202875183?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW17-A/target.jpg
